trial,cnd,stimulated_eye,latency,trial_times
1,0.6,1,0.5656499862670898,1.5673909187316895
2,0.6,-1,0.49075794219970703,1.391772985458374
3,0.6,-1,0.4569978713989258,1.3359308242797852
4,0.0,-1,0.707770824432373,1.0478427410125732
5,0.9,1,0.5436098575592041,1.8159561157226562
6,1.5,1,0.5923140048980713,2.480304002761841
7,0.9,1,0.4722633361816406,1.7681410312652588
8,0.6,-1,0.4915158748626709,1.4560308456420898
9,1.2,-1,0.48410701751708984,2.0239169597625732
10,0.0,1,0.7443869113922119,1.1356992721557617
11,0.0,1,0.6819241046905518,0.9199411869049072
12,0.9,1,0.4720947742462158,1.6719110012054443
13,0.3,-1,0.512009859085083,1.1362040042877197
14,1.2,-1,0.42475080490112305,1.951930046081543
15,0.3,-1,0.5943789482116699,1.2002031803131104
16,0.6,-1,0.5654678344726562,1.567622184753418
17,0.6,-1,0.661811351776123,1.6639211177825928
18,0.6,-1,0.46976733207702637,1.4718482494354248
19,0.0,1,0.5661327838897705,0.9676010608673096
20,1.2,1,0.6527049541473389,2.11203670501709
21,0.9,-1,0.5112032890319824,1.775857925415039
22,0.0,1,0.6454737186431885,1.0475380420684814
23,0.6,1,0.5158882141113281,1.4159128665924072
24,0.0,-1,0.5959451198577881,0.9357321262359619
25,0.3,1,0.4880638122558594,1.1043429374694824
26,1.2,-1,0.4657769203186035,1.8881189823150635
27,0.9,1,0.6577489376068115,1.903923749923706
28,0.0,1,0.6241741180419922,0.855525016784668
29,0.3,1,0.5646200180053711,1.135984182357788
30,0.0,1,0.868412971496582,1.2399439811706543
31,0.3,-1,0.5767576694488525,1.159754991531372
32,0.6,1,0.5980522632598877,1.5997817516326904
33,0.6,1,0.7246859073638916,1.6159827709197998
34,1.2,-1,0.6937410831451416,2.295935869216919
35,0.3,1,0.703948974609375,1.239912986755371
36,0.6,-1,0.5017127990722656,1.5038678646087646
37,0.9,-1,0.49753308296203613,1.7996859550476074
38,1.2,1,0.5915467739105225,2.1038646697998047
39,0.9,1,0.5787572860717773,1.8801970481872559
40,0.0,-1,0.9713599681854248,1.3197388648986816
41,1.2,-1,0.5169589519500732,2.063797950744629
42,0.3,1,0.5996110439300537,1.2239930629730225
43,1.5,-1,0.5911359786987305,2.407999277114868
44,0.3,-1,0.6080687046051025,1.2559428215026855
45,0.0,-1,0.802466869354248,1.104029893875122
46,0.3,-1,0.6549990177154541,1.2878248691558838
47,0.3,1,0.5575098991394043,1.095869779586792
48,1.2,1,0.7210187911987305,2.176076889038086
49,0.0,1,0.6838397979736328,0.967818021774292
50,0.3,1,0.7886781692504883,1.3278536796569824
51,0.6,1,0.6072890758514404,1.5201890468597412
52,1.2,-1,0.6204850673675537,2.1680140495300293
53,0.0,1,0.6359298229217529,0.9359328746795654
54,1.2,-1,0.715735912322998,2.216028928756714
55,1.5,-1,0.5439338684082031,2.2561399936676025
56,0.0,1,0.8567798137664795,1.1117260456085205
57,0.9,1,0.8258788585662842,2.0479578971862793
58,1.2,-1,0.6245760917663574,2.0959999561309814
59,0.9,1,0.6467170715332031,1.8559238910675049
60,1.5,1,0.41702699661254883,2.279974937438965
61,0.0,-1,0.6346259117126465,0.9436280727386475
62,1.5,-1,0.48859214782714844,2.336315870285034
63,0.9,1,0.527850866317749,1.8160009384155273
64,0.3,-1,0.7296791076660156,1.431790828704834
65,0.9,-1,0.4339449405670166,1.6238739490509033
66,1.2,1,0.5804002285003662,2.1042659282684326
67,1.5,1,0.4430680274963379,2.2478902339935303
68,1.2,1,0.467911958694458,2.023873805999756
69,1.2,1,0.4276890754699707,1.999859094619751
70,0.9,1,0.5278279781341553,1.75205397605896
71,1.5,-1,0.5036392211914062,2.335871934890747
72,0.0,-1,0.8830351829528809,1.2399041652679443
73,0.6,-1,1.2200407981872559,2.1278347969055176
74,0.3,-1,0.5037150382995605,1.1838619709014893
75,0.9,1,0.5150060653686523,1.7837629318237305
76,0.0,-1,0.65602707862854,0.9598519802093506
77,0.0,-1,0.5630903244018555,0.9118571281433105
78,1.5,-1,0.5925986766815186,2.4639170169830322
79,0.3,1,0.6887280941009521,1.3678109645843506
80,0.3,1,0.6125872135162354,1.2717950344085693
81,0.3,-1,0.5847129821777344,1.2158339023590088
82,0.6,1,0.540236234664917,1.4878339767456055
83,0.6,1,0.507910966873169,1.4720981121063232
84,1.2,1,0.5004181861877441,2.031759262084961
85,0.3,-1,0.6392271518707275,1.2716059684753418
86,1.5,-1,0.4459037780761719,2.2479400634765625
87,0.6,1,0.5640151500701904,1.5198500156402588
88,0.6,1,0.42743396759033203,1.4159207344055176
89,0.6,-1,0.5560479164123535,1.5279266834259033
90,1.5,1,0.6765460968017578,2.455960988998413
91,1.5,1,0.5446820259094238,2.4402928352355957
92,1.5,-1,0.5650827884674072,2.3756840229034424
93,0.0,1,1.5311980247497559,1.8157539367675781
94,1.5,1,0.5761673450469971,2.4641129970550537
95,0.6,1,0.7775030136108398,1.6163158416748047
96,0.3,-1,0.6816470623016357,1.3838777542114258
97,0.9,-1,1.2411060333251953,2.519874095916748
98,1.2,-1,0.43036413192749023,2.0316970348358154
99,0.0,1,0.6068789958953857,0.9117491245269775
100,0.0,-1,0.5132670402526855,0.8319017887115479
101,0.6,1,0.809783935546875,1.7279298305511475
102,0.3,1,0.44258928298950195,1.119692087173462
103,1.5,-1,0.42423415184020996,2.3047993183135986
104,1.2,1,0.42433905601501465,1.9606902599334717
105,1.5,1,0.5793471336364746,2.400573968887329
106,0.6,1,0.5184953212738037,1.4798650741577148
107,1.2,-1,0.47608399391174316,1.998946189880371
108,1.2,1,0.48348116874694824,2.0397791862487793
109,1.2,-1,0.46588730812072754,2.015848159790039
110,0.3,1,0.6270382404327393,1.2396259307861328
111,0.3,1,1.3946130275726318,2.023926019668579
112,0.6,1,0.45566797256469727,1.4158601760864258
113,1.5,1,0.5309293270111084,2.3920929431915283
114,0.3,-1,0.7869429588317871,1.472161054611206
115,1.2,1,0.40732502937316895,1.959855079650879
116,0.6,-1,1.944774866104126,2.9120588302612305
117,0.6,-1,0.6335821151733398,1.6079297065734863
118,0.0,-1,0.6392061710357666,1.0078849792480469
119,0.3,-1,0.6508018970489502,1.2879250049591064
120,0.0,1,0.827545166015625,1.175692081451416
121,0.3,-1,0.7436139583587646,1.4159002304077148
122,0.9,1,0.6139280796051025,1.759864091873169
123,0.9,1,0.7229790687561035,1.9439129829406738
124,1.2,1,0.8377230167388916,2.3761112689971924
125,1.5,-1,0.7442398071289062,2.608062267303467
126,1.5,-1,0.81545090675354,2.6879189014434814
127,0.9,1,0.7712011337280273,2.047934055328369
128,0.9,-1,0.619866132736206,1.880096197128296
129,1.2,1,0.5188508033752441,2.095900297164917
130,1.5,1,0.6963467597961426,2.5760788917541504
131,1.5,1,0.715338945388794,2.544049024581909
132,1.2,1,0.4696462154388428,2.071780204772949
133,0.0,-1,0.8967390060424805,1.2397549152374268
134,0.9,1,0.6344048976898193,1.9040839672088623
135,1.5,-1,0.7708210945129395,2.6160168647766113
136,0.0,-1,1.11952805519104,1.471735954284668
137,0.9,1,0.7158060073852539,1.9598519802093506
138,0.6,1,0.7134411334991455,1.7109050750732422
139,0.0,-1,0.7471797466278076,1.0641820430755615
140,0.9,-1,0.6794989109039307,1.8959639072418213
141,1.2,1,0.7104241847991943,2.2400190830230713
142,0.0,-1,0.6865119934082031,1.0315699577331543
143,1.2,1,0.47151613235473633,1.9759941101074219
144,0.9,1,0.6751959323883057,1.9517021179199219
145,0.0,-1,0.7232339382171631,1.1118731498718262
146,1.2,-1,0.726118803024292,2.279911756515503
147,1.5,1,0.5387630462646484,2.3999948501586914
148,0.0,1,0.9823291301727295,1.3202919960021973
149,1.2,-1,0.42432689666748047,1.9758720397949219
150,0.6,-1,0.5195999145507812,1.4878630638122559
151,0.3,-1,1.0481460094451904,1.7357079982757568
152,1.2,-1,0.4700181484222412,2.0718209743499756
153,0.6,1,0.7262179851531982,1.6399123668670654
154,0.3,-1,0.6363682746887207,1.2956249713897705
155,0.3,-1,0.9014551639556885,1.5840330123901367
156,1.5,1,0.7647290229797363,2.632037878036499
157,0.3,1,0.6998889446258545,1.3437800407409668
158,0.6,1,0.8231432437896729,1.8000319004058838
159,0.0,-1,0.6952807903289795,0.9997451305389404
160,0.3,-1,0.7540838718414307,1.3757638931274414
161,0.6,-1,0.49352383613586426,1.495703935623169
162,0.0,1,0.5628209114074707,0.863961935043335
163,0.9,-1,0.521085262298584,1.7274730205535889
164,0.3,-1,0.5119938850402832,1.1441259384155273
165,1.5,-1,0.4852440357208252,2.3520009517669678
166,1.5,-1,0.48218607902526855,2.3040361404418945
167,1.2,1,0.4698669910430908,2.0320041179656982
168,1.5,-1,0.4273958206176758,2.2480099201202393
169,0.9,-1,0.4257087707519531,1.7203192710876465
170,0.6,-1,0.8846430778503418,1.8400580883026123
171,0.6,-1,0.9276769161224365,1.8558948040008545
172,0.6,1,1.2057459354400635,2.2079098224639893
173,0.6,-1,0.6592381000518799,1.655876874923706
174,0.9,-1,0.5872881412506104,1.8720929622650146
175,1.2,-1,0.4390382766723633,1.9921801090240479
176,1.5,-1,1.359933853149414,3.191848039627075
177,0.0,1,1.4638698101043701,1.831836223602295
178,0.3,1,1.0880882740020752,1.7205491065979004
179,1.5,-1,0.6951091289520264,2.5283048152923584
180,0.6,-1,1.038538932800293,1.9998500347137451
181,1.2,1,0.8849318027496338,2.4158852100372314
182,0.0,-1,0.8376870155334473,1.2397749423980713
183,0.6,1,0.5071759223937988,1.4482057094573975
184,0.9,-1,0.5992457866668701,1.8161568641662598
185,0.0,-1,0.820065975189209,1.167984962463379
186,1.5,1,0.45656704902648926,2.296121835708618
187,0.9,1,0.5201201438903809,1.7442100048065186
188,0.3,1,0.6798238754272461,1.3522918224334717
189,1.2,1,0.4950439929962158,2.0718960762023926
190,0.9,-1,0.8276119232177734,2.0958399772644043
191,0.9,-1,0.5312020778656006,1.800062894821167
192,0.9,1,0.8001320362091064,2.024099111557007
193,0.3,1,0.9273178577423096,1.5844249725341797
194,0.6,1,0.684912919998169,1.655925989151001
195,0.9,-1,0.7598211765289307,2.0161678791046143
196,0.0,1,1.158195972442627,1.5598762035369873
197,0.6,-1,0.8148353099822998,1.743812084197998
198,0.0,1,0.89923095703125,1.2882108688354492
199,0.9,-1,0.7517368793487549,1.952131748199463
200,0.3,1,0.8099539279937744,1.495887279510498
201,0.0,1,0.8926358222961426,1.2242670059204102
202,1.5,1,0.4722559452056885,2.296402931213379
203,0.3,-1,0.6895287036895752,1.3358628749847412
204,0.6,1,0.8156468868255615,1.7598469257354736
205,1.5,1,0.5708861351013184,2.4402081966400146
206,0.3,1,0.6077439785003662,1.215634822845459
207,0.0,-1,0.830193042755127,1.2241599559783936
208,1.2,-1,0.37554478645324707,1.9360039234161377
209,1.5,1,0.47972798347473145,2.352267026901245
210,1.5,1,0.5654721260070801,2.46236515045166
211,1.5,1,0.5350258350372314,2.3520400524139404
212,1.5,-1,0.5111360549926758,2.3439910411834717
213,0.0,-1,1.9425292015075684,2.2722880840301514
214,1.5,1,0.5117089748382568,2.3359668254852295
215,0.9,-1,0.8642117977142334,2.120225667953491
216,0.3,-1,0.8419337272644043,1.528609037399292
217,1.5,-1,0.18648886680603027,2.071345806121826
218,1.2,-1,1.0820269584655762,2.608254909515381
219,0.9,1,0.760432243347168,2.0079517364501953
220,1.2,-1,0.5078961849212646,2.072261095046997
221,1.2,1,0.5954439640045166,2.1120758056640625
222,0.9,-1,0.4965035915374756,1.7522480487823486
223,0.3,1,0.7857060432434082,1.4722390174865723
224,0.6,-1,0.6875720024108887,1.6479480266571045
225,1.2,1,0.4917480945587158,2.0161447525024414
226,1.5,-1,0.43427109718322754,2.2878642082214355
227,0.0,1,1.1803960800170898,1.4800200462341309
228,1.2,-1,0.50164794921875,2.1038830280303955
229,0.3,1,0.7842609882354736,1.4080870151519775
230,0.3,1,0.7919399738311768,1.416167974472046
231,0.0,1,0.7427878379821777,1.0719342231750488
232,0.9,-1,0.4512331485748291,1.703995704650879
233,0.9,-1,0.4724149703979492,1.7197411060333252
234,0.9,1,0.83502197265625,2.064039945602417
235,1.5,-1,0.6082050800323486,2.456050157546997
236,1.2,-1,0.6517362594604492,2.1682589054107666
237,0.6,-1,0.6040298938751221,1.5993480682373047
238,1.5,1,0.8720309734344482,2.7360610961914062
239,0.9,-1,0.7439041137695312,2.000364065170288
240,0.9,-1,0.5997569561004639,1.840066909790039
