trial,cnd,eccentricity,test_eye,response,trial_times
137,2,1,-1,1,1.8363142013549805
138,1,2,-1,1,1.803830862045288
139,1,1,-1,1,1.8609309196472168
140,2,1,1,1,1.8365771770477295
141,2,2,-1,1,1.8648476600646973
142,1,2,1,0,1.853356122970581
143,2,2,-1,1,1.8526949882507324
144,2,2,1,0,1.8693978786468506
145,1,1,-1,1,1.8156111240386963
146,2,1,-1,1,1.878641128540039
147,1,1,-1,1,1.865873098373413
148,2,2,1,0,1.8563251495361328
149,2,1,1,1,1.8058252334594727
150,2,2,1,1,1.877314805984497
151,1,2,-1,0,1.8058099746704102
152,2,1,-1,1,1.839766025543213
153,2,2,-1,0,1.8982069492340088
154,1,2,-1,1,1.8171069622039795
155,1,1,-1,1,1.8557119369506836
156,2,2,-1,0,1.8010187149047852
157,1,1,-1,1,1.851776123046875
158,2,1,-1,1,1.858558177947998
159,2,2,1,0,1.897463083267212
160,2,1,1,1,1.873086929321289
